id,suite,type,spans,length,width,n_lanes,skew,gdr_spacing,span2depth,t_deck,n_dia,dia_spacing,dia_type,dia_section,intgdr_Ix,ingdr_A,intgdr_d,intgdr_tw,intgdr_tf,intgdr_bf,intgdr_sectcomp,intgdr_flangecomp,intgdr_webcomp,intgdr_mnpos,intgdr_fnneg,intgdr_vn,intgdr_dfm,intgdr_dfv,extgdr_Ix,exgdr_A,extgdr_d,extgdr_tw,extgdr_tf,extgdr_bf,extgdr_sectcomp,extgdr_flangecomp,extgdr_webcomp,extgdr_mnpos,extgdr_fnneg,extgdr_vn,extgdr_dfm,extgdr_dfv,dia_emultiplier,dia_e,gdr_e,deck_e,intgdr_dlmpos,intgdr_sdlmpos,intgdr_llmpos,intgdr_dlmneg,intgdr_sdlmneg,intgdr_llmneg,intgdr_dlv,intgdr_sdlv,intgdr_llv,intgdr_ftgstress,intgdr_st1rtgpos,intgdr_sv2rtgpos,intgdr_st1rtgneg,intgdr_sv2rtgneg,intgdr_vrtg,extgdr_dlmpos,extgdr_sdlmpos,extgdr_llmpos,extgdr_dlmneg,extgdr_sdlmneg,extgdr_llmneg,extgdr_dlv,extgdr_sdlv,extgdr_llv,extgdr_ftgstress,extgdr_st1rtgpos,extgdr_sv2rtgpos,extgdr_st1rtgneg,extgdr_sv2rtgneg,extgdr_vrtg
Steel_1_1_87,1,Steel,1,888.255119,604.1281756,4,3.220976849,100.6880293,23.72423366,7.765657271,4,222.0637798,Chevron,L2X2X1/8,15219.20166,64.54214475,37,0.355642673,4.421188953,6.166677488,1,,,65167970.85,,210792.4321,0.670515152,0.851465551,17667.96092,67.8435665,37,0.354006028,2.657840222,10.65284624,1,,,65311675.97,,184755.3315,0.699443972,0.707318795,12.62082698,366003982.5,29000000,3604996.533,8234792.722,792519.4653,22123059.69,,,,37083.0071,3568.882175,107362.0275,11999.99842,2.07697984,2.095068329,,,1.027893522,8332661.613,792519.4653,22123059.69,,,,37523.73134,3568.882175,107362.0275,11999.2647,2.07697984,2.095068329,,,1.027893522
Steel_1_1_88,1,Steel,1,1794.749736,770.8382148,5,47.73786065,128.4730358,27.61157737,7.796109579,8,224.343717,Chevron,L2-1/2X1-1/2X3/16,84355.50513,114.051053,64,0.580714669,2.961269714,13.56253017,1,,,189445262.9,,444928.4395,0.689233558,1.172373081,86232.29209,125.9623543,64,0.848200926,2.550539712,14.89963771,1,,,200056267.4,,1258338.911,0.730473183,0.945251019,5.426716561,157374780.3,29000000,3604996.533,46255397.07,3235506.646,59994130,,,,103090.4669,7211.048052,149658.7969,11999.99548,1.763275248,1.711635883,,,1.029368227,47696965.38,3235506.646,59994130,,,,106303.3234,7211.048052,149658.7969,11985.39403,1.763275248,1.711635883,,,1.029368227
Steel_1_1_89,1,Steel,1,1413.059315,493.5492757,3,57.80320866,123.3873189,23.92489814,8.381157208,6,235.5098858,Chevron,L2X2X1/8,51752.99727,86.049735,59,0.545617846,2.899180547,9.834153208,1,,,137756264.7,,402856.23,0.622618019,1.246603109,56640.73868,89.76760265,59,0.524841629,2.074549343,14.69706335,1,,,137848980.4,,347784.6835,0.661305704,1.012703741,15.0869683,437522080.8,29000000,3604996.533,26601159.24,2807910.881,42705717.36,,,,75300.89917,7948.458644,136954.8515,11999.96874,2.170927619,2.003452796,,,1.033321121,26880081.34,2807910.881,42705717.36,,,,76090.45442,7948.458644,136954.8515,11999.97393,2.170927619,2.003452796,,,1.033321121
Steel_1_1_90,1,Steel,1,596.2824747,676.6143273,4,33.12443101,84.57679091,22.45429568,7.886395627,3,198.7608249,Beam,C15X33.9,4926.756282,41.55844132,26,0.312500054,2.939203035,6.000000971,1,,,33047540.37,,170804.9041,0.574303018,0.869517824,5787.99183,44.19004031,26,0.389322907,1.259200982,13.91680788,1,,,32817593.06,,265115.7962,0.578781217,0.700680314,19.98167736,579468643.6,29000000,3604996.533,3102242.869,277775.6169,12275001.79,,,,20810.55875,1863.382733,93024.69707,11999.99988,2.338505758,2.319881587,,,1.02288988,3137398.267,277775.6169,12275001.79,,,,21046.38925,1863.382733,93024.69707,11927.59515,2.338505758,2.319881587,,,1.02288988
Steel_1_1_91,1,Steel,1,619.5091444,737.1337643,5,32.6801775,122.8556274,27.55379834,8.066980177,3,206.5030481,Beam,C12X20.7,3959.387784,53.30479288,22,0.544592982,3.787411651,6.000000406,1,,,38991318.73,,227819.6497,0.730099883,1.131522764,4051.229208,54.46036675,22,0.475184873,3.982569645,6.000047395,1,,,34978819.11,,193405.4517,0.753731369,0.922684648,9.203462279,266900406.1,29000000,3604996.533,4646390.691,385504.9353,13013328.96,,,,30000.46558,2489.099241,94541.45632,11999.99992,1.969029675,1.667390004,,,1.016620047,4663054.005,385504.9353,13013328.96,,,,30108.05601,2489.099241,94541.45632,11999.99034,1.969029675,1.667390004,,,1.016620047
Steel_1_1_92,1,Steel,1,1528.687297,473.9274411,3,56.92096888,78.98790685,28.3678349,7.737586427,7,218.3838995,Chevron,L2X2X1/8,43673.25529,87.2159912,53,0.473173613,3.71630344,8.83333455,1,,,114743780.9,,306772.7398,0.47123558,0.910690857,48084.3113,99.91985306,53,0.752536874,2.205740625,14.36143496,1,,,129909268.9,,990502.8111,0.493685244,0.711970876,12.26421209,355662150.7,29000000,3604996.533,22658643.74,2347171.838,47738095.95,,,,59292.82913,6142.047172,141166.9883,11999.99993,2.121073636,2.228366846,,,1.034125853,23774001.95,2347171.838,47738095.95,,,,62211.48325,6142.047172,141166.9883,11681.78208,2.121073636,2.228366846,,,1.034125853
Steel_1_1_93,1,Steel,1,1056.204939,828.0010054,5,37.38238178,118.2858579,21.64450601,8.608579525,5,211.2409878,Chevron,L2X2X1/8,29813.55729,71.10627611,48,0.46126464,2.322797498,11.00148036,1,,,96467352.87,,298694.1062,0.695643146,1.08456047,30642.37143,91.82809997,48,1.147678269,1.265932046,15.65854524,1,,,113908142.9,,1513300.954,0.728242741,0.884677755,6.879938652,199518220.9,29000000,3604996.533,14571589.29,980480.4551,28307895.19,,,,55184.70422,3713.220489,118582.4269,11999.99285,2.236276033,2.184905074,,,1.020642965,15440134.81,980480.4551,28307895.19,,,,58474.01102,3713.220489,118582.4269,11160.76211,2.236276033,2.184905074,,,1.020642965
Steel_1_1_94,1,Steel,1,1610.781773,675.7418327,4,43.94084106,112.6236388,20.25589231,8.626000276,7,230.1116818,Chevron,L2-1/2X1-1/2X3/16,83902.95759,87.00468808,79,0.601515968,1.57093493,13.16884955,1,,,184687269.2,,378572.2211,0.646827535,1.053733017,90053.18209,89.98778438,79,0.575452552,1.768178563,13.16666751,1,,,185142328.3,,333196.3157,0.696217809,0.869517065,25.27132781,732868506.5,29000000,3604996.533,34090189.65,2606201.032,51419070.41,,,,84655.01722,6471.891048,143518.0762,11999.96732,2.385306098,1.969409005,,,1.030611564,34380999.36,2606201.032,51419070.41,,,,85377.17516,6471.891048,143518.0762,11999.99999,2.385306098,1.969409005,,,1.030611564
Steel_1_1_95,1,Steel,1,1231.682034,420.1800109,2,58.70744625,105.0450027,28.24325308,7.560651136,6,205.2803389,Chevron,L2X2X1/8,31981.20437,117.0433382,43,1.43690213,2.707423596,11.6415385,1,,,122255046.9,,1566179.398,0.566413916,1.114031362,32232.18944,90.37444924,43,0.437642124,2.533191906,14.56129335,1,,,97267602.6,,291569.7732,0.600383266,0.936303203,15.94256278,462334320.7,29000000,3604996.533,18652279.52,2133137.301,35171832.63,,,,60580.69318,6928.21144,130207.8583,10213.66471,2.762022228,2.630297112,,,5.87145557,17132329.12,2133137.301,35171832.63,,,,55644.04996,6928.21144,130207.8583,11999.99424,2.762022228,2.630297112,,,5.87145557
Steel_1_1_96,1,Steel,1,1555.541402,855.8383109,5,49.13042638,95.09314566,26.09155,8.658303743,7,222.2202002,Chevron,L2X2X1/8,55309.82157,90.04869132,59,0.514842093,3.201619657,9.834032723,1,,,138086485.9,,342351.7399,0.551096999,0.983520126,61206.00887,96.1581879,59,0.495446241,2.888422635,12.08081101,1,,,142934487.1,,301507.6908,0.614386025,0.81106872,2.408396268,69843491.77,29000000,3604996.533,29050613.52,1701357.928,48933907.45,,,,74702.25732,4374.960193,141467.418,11999.97096,2.111812046,2.077189299,,,1.022530161,29606053.07,1701357.928,48933907.45,,,,76130.54343,4374.960193,141467.418,11999.99829,2.111812046,2.077189299,,,1.022530161
